,Description,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid,Data.Calories
4804,"Macaroni or noodles, creamed, with cheese and tuna",17.28,7.91,4.55,141.71
4805,Flavored pasta,14.45,2.47,2.21,87.57
4806,"Yat Ga Mein with meat, fish, or poultry",11.16,10.36,5.57,136.21
4807,"Macaroni or pasta salad, made with mayonnaise",24.64,4.46,11.52,220.08
4808,"Macaroni or pasta salad, made with light mayonnaise",25.68,4.32,4.16,157.44
4809,"Macaroni or pasta salad, made with mayonnaise-type salad dressing",26.58,4.38,4.01,159.93
4810,"Macaroni or pasta salad, made with light mayonnaise-type salad dressing",25.68,4.32,4.16,157.44
4811,"Macaroni or pasta salad, made with Italian dressing",20.86,3.7,3.71,131.63
4812,"Macaroni or pasta salad, made with light Italian dressing",20.58,3.69,1.99,114.99
4813,"Macaroni or pasta salad, made with creamy dressing",20.08,3.81,6.61,155.05
4814,"Macaroni or pasta salad, made with light creamy dressing",20.18,3.82,2.91,122.19
4815,"Macaroni or pasta salad, made with any type of fat free dressing",26.54,4.26,1.14,133.46
4816,Macaroni or pasta salad with egg,22.53,5.19,11.44,213.84
4817,Macaroni or pasta salad with tuna,20.87,6.69,9.9,199.34
4818,Macaroni or pasta salad with crab meat,20.93,6.48,9.9,198.74
4819,Macaroni or pasta salad with shrimp,21.1,6.76,10.06,201.98
4820,Macaroni or pasta salad with tuna and egg,19.35,7.14,9.96,195.6
4821,Macaroni or pasta salad with chicken,20.93,7.82,10.75,211.75
4822,Macaroni or pasta salad with cheese,21.77,6.9,14.43,244.55
4823,Macaroni or pasta salad with meat,20.82,7.66,10.59,209.23
4824,Noodle pudding,30.98,5.96,7.32,213.64
4825,"Bibimbap, Korean",8.61,5.47,2.88,82.24
4826,"Rice, fried, meatless",32.5,3.84,3.19,174.07
4827,"Rice, fried, NFS",32.5,3.84,3.19,174.07
4828,"Rice, fried, with chicken",27.62,7.28,3.66,172.54
4829,"Rice, fried, with pork",27.62,7.56,4.16,178.16
4830,"Rice, fried, with beef",27.62,7.86,4.06,178.46
4831,"Rice, fried, with shrimp",27.85,6.68,2.97,164.85
4832,"Dukboki or Tteokbokki, Korean",19.91,3.92,4.07,131.95
4833,"Adobo, with rice",8.88,17.68,7.94,177.7
4834,"Sushi, NFS",18.41,2.92,0.67,91.35
4835,"Sushi roll, avocado",17.71,1.81,1.47,91.31
4836,"Sushi roll, California",18.41,2.92,0.67,91.35
4837,"Sushi roll, eel",15.3,7.1,3.71,122.99
4838,"Sushi roll, salmon",15.3,6.88,1.28,100.24
4839,"Sushi roll, shrimp",15.67,7.01,0.55,95.67
4840,Sushi roll tuna,15.3,7.4,0.26,93.14
4841,"Sushi roll, vegetable",17.71,1.81,1.47,91.31
4842,"Sushi, topped with crab",18.58,3.85,0.28,92.24
4843,"Sushi, topped with eel",13.39,9.24,5.2,137.32
4844,"Sushi, topped with salmon",13.39,8.92,1.74,104.9
4845,"Sushi, topped with shrimp",13.91,9.1,0.7,98.34
4846,"Sushi, topped with tuna",13.39,9.66,0.29,94.81
4847,"Sushi, topped with egg",10.13,7.41,5.0,115.16
4848,"Rice with chicken, Puerto Rican style",31.43,10.13,14.14,293.5
4849,"Paella with meat, Valenciana style",16.75,21.44,12.29,263.37
4850,"Seafood paella, Puerto Rican style",15.71,7.6,5.65,144.09
4851,"Soupy rice with chicken, Puerto Rican style",16.49,12.08,4.05,150.73
4852,"Soupy rice mixture with chicken and potatoes, Puerto Rican style",12.06,6.34,4.27,112.03
4853,"Rice meal fritter, Puerto Rican style",36.58,8.98,14.03,308.51
4854,"Stewed rice, Puerto Rican style",33.43,3.96,7.8,219.76
4855,"Rice with squid, Puerto Rican style",29.26,8.88,11.82,258.94
4856,"Fried rice, Puerto Rican style",8.53,12.78,3.33,115.21
4857,"Rice with vienna sausage, Puerto Rican style",33.55,6.46,11.61,264.53
4858,"Rice with Spanish sausage, Puerto Rican style",32.4,8.39,13.59,285.47
4859,"Rice with onions, Puerto Rican style",18.85,3.48,9.75,177.07
4860,"Rice with stewed beans, Puerto Rican style",23.02,3.66,3.23,135.79
4861,"Congee, with meat, poultry, and/or seafood",6.12,4.81,0.94,52.18
4862,"Congee, with meat, poultry, and/or seafood, and vegetables",6.1,4.62,0.92,51.16
4863,"Congee, with vegetables",7.7,0.76,0.1,34.74
4864,Biryani with vegetables,17.88,1.93,3.16,107.68
4865,"Beans and rice, from fast food / restaurant",24.41,6.29,6.99,185.71
4866,"Kidney beans and rice, from fast food / restaurant",23.17,5.72,7.07,179.19
4867,"Black beans and rice, from fast food / restaurant",23.66,5.82,7.09,181.73
4868,"Pinto beans and rice, from fast food / restaurant",25.02,5.9,7.15,188.03
4869,Beans and white rice,25.19,6.5,4.21,164.65
4870,"Beans and rice, with tomatoes",21.9,4.7,3.46,137.54
4871,"Beans and rice, with meat",23.54,7.49,4.24,162.28
4872,Kidney beans and white rice,23.91,5.9,4.29,157.85
4873,Black beans and white rice,24.42,6.01,4.32,160.6
4874,Pinto beans and white rice,25.82,6.09,4.38,167.06
4875,"Rice, white, with corn, NS as to fat",25.21,2.58,2.5,133.66
4876,"Rice, white, with corn, no added fat",25.76,2.64,0.38,117.02
4877,"Rice, white, with corn, fat added",25.21,2.58,2.5,133.66
4878,"Rice, white, with peas, NS as to fat",24.03,3.22,2.42,130.78
4879,"Rice, white, with peas, no added fat",24.56,3.29,0.28,113.92
4880,"Rice, white, with peas, fat added",24.03,3.22,2.42,130.78
4881,"Rice, white, with carrots, NS as to fat",22.64,2.16,2.42,120.98
4882,"Rice, white, with carrots, no added fat",23.14,2.2,0.25,103.61
4883,"Rice, white, with carrots, fat added",22.64,2.16,2.42,120.98
4884,"Rice, white, with peas and carrots, NS as to fat",23.22,2.66,2.47,125.75
4885,"Rice, white, with peas and carrots, no added fat",23.74,2.72,0.33,108.81
4886,"Rice, white, with peas and carrots, fat added",23.22,2.66,2.47,125.75
4887,"Rice, white, with tomatoes and/or tomato-based sauce, NS as to fat",19.41,2.0,2.18,105.26
4888,"Rice, white, with tomatoes and/or tomato-based sauce, no added fat",19.79,2.04,0.27,89.75
4889,"Rice, white, with tomatoes and/or tomato-based sauce, fat added",19.41,2.0,2.18,105.26
4890,"Rice, white, with dark green vegetables, NS as to fat",22.3,2.68,2.46,122.06
4891,"Rice, white, with dark green vegetables, no added fat",22.8,2.74,0.3,104.86
4892,"Rice, white, with dark green vegetables, fat added",22.3,2.68,2.46,122.06
4893,"Rice, white, with carrots and tomatoes and/or tomato-based sauce, NS as to fat",20.91,2.07,2.29,112.53
4894,"Rice, white, with carrots and tomatoes and/or tomato-based sauce, no added fat",21.34,2.12,0.26,96.18
4895,"Rice, white, with carrots and tomatoes and/or tomato-based sauce, fat added",20.91,2.07,2.29,112.53
4896,"Rice, white, with dark green vegetables and tomatoes and/or tomato-based sauce, NS as to fat",20.82,2.32,2.32,113.44
4897,"Rice, white, with dark green vegetables and tomatoes and/or tomato-based sauce, no added fat",21.26,2.37,0.28,97.04
4898,"Rice, white, with dark green vegetables and tomatoes and/or tomato-based sauce, fat added",20.82,2.32,2.32,113.44
4899,"Rice, white, with carrots and dark green vegetables, NS as to fat",22.54,2.41,2.45,121.85
4900,"Rice, white, with carrots and dark green vegetables, no added fat",23.04,2.47,0.28,104.56
4901,"Rice, white, with carrots and dark green vegetables, fat added",22.54,2.41,2.45,121.85
4902,"Rice, white, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, NS as to fat",20.89,2.29,2.28,113.24
4903,"Rice, white, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, no added fat",21.84,2.32,0.28,99.16
4904,"Rice, white, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, fat added",21.38,2.27,2.35,115.75
4905,"Rice, white, with other vegetables, NS as to fat",22.64,2.3,2.41,121.45
4906,"Rice, white, with other vegetables, no added fat",23.13,2.35,0.26,104.26
4907,"Rice, white, with other vegetables, fat added",22.64,2.3,2.41,121.45
4908,"Rice, white, with lentils, NS as to fat",21.45,5.5,4.83,151.27
4909,"Rice, white, with lentils, fat added",21.45,5.5,4.83,151.27
4910,"Rice, white, with lentils, no added fat",22.47,5.76,0.33,115.89
4911,"Rice, cooked with coconut milk",26.55,3.57,17.23,275.55
4912,Beans and brown rice,24.17,6.52,4.49,163.17
4913,Kidney beans and brown rice,22.89,5.92,4.57,156.37
4914,Black beans and brown rice,23.4,6.03,4.59,159.03
4915,Pinto beans and brown rice,24.8,6.12,4.65,165.53
4916,"Rice, brown, with corn, NS as to fat",23.66,2.64,2.71,129.59
4917,"Rice, brown, with corn, no added fat",24.1,2.69,0.9,115.26
4918,"Rice, brown, with corn, fat added",23.66,2.64,2.71,129.59
4919,"Rice, brown, with peas, NS as to fat",22.64,3.18,2.64,127.04
4920,"Rice, brown, with peas, no added fat",23.07,3.24,0.82,112.62
4921,"Rice, brown, with peas, fat added",22.64,3.18,2.64,127.04
4922,"Rice, brown, with carrots, NS as to fat",21.43,2.27,2.63,118.47
4923,"Rice, brown, with carrots, no added fat",21.84,2.31,0.8,103.8
4924,"Rice, brown, with carrots, fat added",21.43,2.27,2.63,118.47
4925,"Rice, brown, with peas and carrots, NS as to fat",21.95,2.7,2.68,122.72
4926,"Rice, brown, with peas and carrots, no added fat",22.37,2.75,0.86,108.22
4927,"Rice, brown, with peas and carrots, fat added",21.95,2.7,2.68,122.72
4928,"Rice, brown, with tomatoes and/or tomato based sauce, NS as to fat",18.77,2.13,2.41,105.29
4929,"Rice, brown, with tomatoes and/or tomato based sauce, no added fat",19.08,2.16,0.76,91.8
4930,"Rice, brown, with tomatoes and/or tomato based sauce, fat added",18.77,2.13,2.41,105.29
4931,"Rice, brown, with dark green vegetables, NS as to fat",21.16,2.72,2.68,119.64
4932,"Rice, brown, with dark green vegetables, no added fat",21.56,2.77,0.84,104.88
4933,"Rice, brown, with dark green vegetables, fat added",21.16,2.72,2.68,119.64
4934,"Rice, brown, with carrots and tomatoes and/or tomato-based sauce, NS as to fat",20.02,2.2,2.51,111.47
4935,"Rice, brown, with carrots and tomatoes and/or tomato-based sauce, no added fat",20.38,2.24,0.78,97.5
4936,"Rice, brown, with carrots and tomatoes and/or tomato-based sauce, fat added",20.02,2.2,2.51,111.47
4937,"Rice, brown, with dark green vegetables and tomatoes and/or tomato-based sauce, NS as to fat",19.94,2.41,2.54,112.26
4938,"Rice, brown, with dark green vegetables and tomatoes and/or tomato-based sauce, no added fat",20.3,2.45,0.8,98.2
4939,"Rice, brown, with dark green vegetables and tomatoes and/or tomato-based sauce, fat added",19.47,2.42,2.46,109.7
4940,"Rice, brown, with carrots and dark green vegetables, NS as to fat",21.36,2.49,2.66,119.34
4941,"Rice, brown, with carrots and dark green vegetables, no added fat",21.76,2.54,0.82,104.58
4942,"Rice, brown, with carrots and dark green vegetables, fat added",21.36,2.49,2.66,119.34
4943,Grape leaves stuffed with rice,13.88,2.28,11.95,172.19
4944,"Rice, brown, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, NS as to fat",20.41,2.36,2.57,114.21
4945,"Rice, brown, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, no added fat",20.78,2.41,0.8,99.96
4946,"Rice, brown, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, fat added",20.41,2.36,2.57,114.21
4947,"Rice, brown, with other vegetables, NS as to fat",21.45,2.4,2.63,119.07
4948,"Rice, brown, with other vegetables, no added fat",21.85,2.44,0.8,104.36
4949,"Rice, brown, with other vegetables, fat added",21.45,2.4,2.63,119.07
4950,Rice croquette,19.97,3.41,6.53,152.29
4951,"Stuffed pepper, with meat",4.13,9.29,15.9,196.78
4952,"Stuffed pepper, with rice and meat",9.85,7.89,11.65,175.81
4953,"Stuffed pepper, with rice, meatless",11.93,3.84,11.31,164.87
4954,"Stuffed tomato, with rice and meat",9.86,4.75,4.54,99.3
4955,"Stuffed tomato, with rice, meatless",13.04,1.6,2.16,78.0
4956,Rice pilaf,24.08,3.29,3.03,136.75
4957,Dirty rice,17.28,5.13,2.25,109.89
4958,Flavored rice mixture,19.83,1.87,4.26,125.14
4959,Flavored rice mixture with cheese,25.22,2.99,1.2,123.64
4960,"Flavored rice, brown and wild",19.27,2.76,2.14,107.38
4961,Flavored rice and pasta mixture,19.11,2.68,3.49,118.57
4962,"Flavored rice and pasta mixture, reduced sodium",17.29,2.59,3.42,110.3
4963,"Spanish rice, from restaurant",31.16,3.28,5.29,185.37
4964,"Spanish rice, fat added",19.65,2.88,2.61,113.61
4965,"Spanish rice, no added fat",19.92,2.92,1.01,100.45
4966,"Spanish rice, NS as to fat",19.65,2.88,2.61,113.61
4967,Spanish rice with ground beef,14.79,9.69,6.91,160.11
4968,Rice dressing,17.68,2.0,3.3,108.42
4969,Rice with raisins,32.13,2.65,2.58,162.34
4970,Rice dessert or salad with fruit,20.67,1.6,7.3,154.78
4971,"Rice, white, with cheese and/or cream based sauce, NS as to fat",20.01,5.16,7.03,163.95
4972,"Rice, white, with cheese and/or cream based sauce, no added fat",20.4,5.26,5.22,149.62
4973,"Rice, white, with cheese and/or cream based sauce, fat added",20.01,5.16,7.03,163.95
4974,"Rice, white, with gravy, NS as to fat",20.01,1.98,2.96,114.6
4975,"Rice, white, with gravy, no added fat",20.4,2.02,1.06,99.22
4976,"Rice, white, with gravy, fat added",20.01,1.98,2.96,114.6
4977,"Rice, white, with soy-based sauce, NS as to fat",21.5,2.01,2.19,113.75
4978,"Rice, white, with soy-based sauce, no added fat",21.92,2.05,0.28,98.4
4979,"Rice, white, with soy-based sauce, fat added",21.5,2.01,2.19,113.75
4980,"Rice, brown, with cheese and/or cream based sauce, NS as to fat",19.29,4.87,6.62,156.22
4981,"Rice, brown, with cheese and/or cream based sauce, no added fat",19.61,4.95,5.04,143.6
4982,"Rice, brown, with cheese and/or cream based sauce, fat added",19.29,4.87,6.62,156.22
4983,"Rice, brown, with gravy, NS as to fat",19.28,2.11,3.08,113.28
4984,"Rice, brown, with gravy, no added fat",19.61,2.14,1.44,99.96
4985,"Rice, brown, with gravy, fat added",19.28,2.11,3.08,113.28
4986,"Rice, brown, with soy-based sauce, NS as to fat",20.58,2.14,2.42,112.66
4987,"Rice, brown, with soy-based sauce, no added fat",20.92,2.17,0.77,99.29
4988,"Rice, brown, with soy-based sauce, fat added",20.58,2.14,2.42,112.66
4989,"Rice, white, with vegetables, cheese and/or cream based sauce, NS as to fat",18.63,4.7,5.66,144.26
4990,"Rice, white, with vegetables, cheese and/or cream based sauce, no added fat",18.92,4.77,4.2,132.56
4991,"Rice, white, with vegetables, cheese and/or cream based sauce, fat added",18.63,4.7,5.66,144.26
4992,"Rice, white, with vegetables and gravy, NS as to fat",18.63,2.15,2.4,104.72
4993,"Rice, white, with vegetables and gravy, no added fat",18.92,2.19,0.88,92.36
4994,"Rice, white, with vegetables and gravy, fat added",18.63,2.15,2.4,104.72
4995,"Rice, white, with vegetables, soy-based sauce, NS as to fat",19.82,2.18,1.79,104.11
4996,"Rice, white, with vegetables, soy-based sauce, no added fat",20.13,2.22,0.26,91.74
4997,"Rice, white, with vegetables, soy-based sauce, fat added",19.82,2.18,1.79,104.11
4998,"Rice, brown, with vegetables, cheese and/or cream based sauce, NS as to fat",18.19,4.51,5.47,140.03
4999,"Rice, brown, with vegetables, cheese and/or cream based sauce, no added fat",18.44,4.57,4.17,129.57
5000,"Rice, brown, with vegetables, cheese and/or cream based sauce, fat added",18.19,4.51,5.47,140.03
5001,"Rice, brown, with vegetables and gravy, NS as to fat",18.18,2.24,2.56,104.72
5002,"Rice, brown, with vegetables and gravy, no added fat",18.43,2.27,1.21,93.69
5003,"Rice, brown, with vegetables and gravy, fat added",18.18,2.24,2.56,104.72
5004,"Rice, brown, with vegetables, soy-based sauce, NS as to fat",19.24,2.27,2.02,104.22
5005,"Rice, brown, with vegetables, soy-based sauce, no added fat",19.51,2.3,0.66,93.18
5006,"Rice, brown, with vegetables, soy-based sauce, fat added",19.24,2.27,2.02,104.22
5007,"Upma, Indian breakfast dish",13.81,1.98,2.64,86.92
5008,"Dosa (Indian), with filling",30.8,5.46,4.27,183.47
5009,"Vada, fried dumpling",33.25,12.75,9.73,271.57
5010,Tabbouleh,9.65,1.64,9.66,132.1
5011,"Wrap sandwich, filled with vegetables",13.96,3.2,6.35,125.79
5012,"Jelly sandwich, regular jelly, NFS",57.5,5.72,2.16,272.32
5013,"Jelly sandwich, regular jelly, on white bread",57.5,5.72,2.16,272.32
5014,"Jelly sandwich, regular jelly, on wheat bread",55.23,6.9,2.39,270.03
5015,"Jelly sandwich, regular jelly, on whole wheat bread",55.23,6.9,2.39,270.03
5016,"Jelly sandwich, reduced sugar jelly, on white bread",44.56,5.66,2.19,220.59
5017,"Jelly sandwich, reduced sugar jelly, on wheat bread",42.29,6.84,2.43,218.39
5018,"Jelly sandwich, reduced sugar jelly, on whole wheat bread",42.29,6.84,2.43,218.39
5019,"Lasagna with cheese and meat sauce, diet frozen meal",12.37,7.6,4.23,117.95
5020,"Vegetable lasagna, frozen meal",14.83,5.01,7.71,148.75
5021,"Zucchini lasagna, diet frozen meal",13.13,5.42,3.31,103.99
5022,"Macaroni and cheese, diet frozen meal",17.11,6.02,4.06,129.06
5023,"Beef and noodles with meat sauce and cheese, diet frozen meal",13.16,9.22,4.83,132.99
5024,"Noodles with vegetables in tomato-based sauce, diet frozen meal",10.84,3.36,1.56,70.84
5025,"Spaghetti and meatballs dinner, NFS, frozen meal",15.06,5.58,3.39,113.07
5026,"Spaghetti with meat and mushroom sauce, diet frozen meal",16.68,6.13,2.83,116.71
5027,"Spaghetti with meat sauce, diet frozen meal",15.06,5.58,3.39,113.07
5028,"Ravioli, cheese-filled, with tomato sauce, diet frozen meal",12.39,7.29,5.01,123.81
5029,"Linguini with vegetables and seafood in white wine sauce, diet frozen meal",11.71,8.03,3.95,114.51
5030,"Pasta with vegetable and cheese sauce, diet frozen meal",16.32,4.91,2.82,110.3
5031,"Beef enchilada dinner, NFS, frozen meal",16.73,5.04,4.14,124.34
5032,"Beef enchilada, chili gravy, rice, refried beans, frozen meal",16.73,5.04,4.14,124.34
5033,"Cheese enchilada, frozen meal",19.55,8.04,7.61,178.85
5034,"Sausage and french toast, frozen meal",18.7,11.89,11.21,223.25
5035,"Pancakes and sausage, frozen meal",27.69,8.86,13.73,269.77
5036,"Soup, NFS",3.07,1.2,0.78,24.1
5037,"Noodle soup, NFS",9.17,1.55,2.68,67.0
5038,"Rice soup, NFS",5.8,0.92,0.78,33.9
5039,"Barley soup, home recipe, canned, or ready-to-serve",7.94,2.81,0.96,51.64
5040,"Barley soup, sweet, with or without nuts, Asian Style",11.87,1.02,1.57,65.69
5041,"Beef noodle soup, canned or ready-to-serve",3.63,1.95,1.25,33.57
5042,"Beef dumpling soup, home recipe, canned or ready-to-serve",10.08,3.97,1.11,66.19
5043,"Beef rice soup, home recipe, canned or ready-to-serve",10.08,3.97,1.11,66.19
5044,"Beef noodle soup, home recipe",4.6,7.17,2.38,68.5
5045,"Chicken or turkey noodle soup, canned or ready-to-serve",3.07,1.2,0.78,24.1
5046,"Chicken or turkey noodle soup, home recipe",4.93,5.56,2.22,61.94
5047,"Chicken or turkey noodle soup, cream of, home recipe, canned, or ready-to-serve",5.47,2.86,1.77,49.25
5048,"Chicken or turkey noodle soup, reduced sodium, canned or ready-to-serve",3.84,3.29,1.34,40.58
5049,"Noodle and potato soup, Puerto Rican style",6.48,0.86,0.12,30.44
5050,"Chicken or turkey rice soup, canned, or ready-to-serve",5.8,0.92,0.78,33.9
5051,"Chicken or turkey rice soup, home recipe",5.66,5.22,2.03,61.79
5052,"Chicken or turkey rice soup, reduced sodium, canned, prepared with water or ready-to-serve",3.61,0.8,0.6,23.04
5053,"Chicken or turkey rice soup, reduced sodium, canned, prepared with milk",6.02,2.48,1.6,48.4
5054,"Rice and potato soup, Puerto Rican style",12.62,1.39,2.09,74.85
5055,Matzo ball soup,7.74,2.61,2.05,59.85
5056,"Chicken or turkey soup with dumplings and potatoes, home recipe, canned, or ready-to-serve",4.46,3.09,1.16,40.64
5057,"Chicken or turkey soup with dumplings, home recipe, canned or ready-to-serve",4.46,3.09,1.16,40.64
5058,"Instant soup, noodle",4.17,1.03,0.44,24.76
5059,"Soup, mostly noodles",9.17,1.55,2.68,67.0
5060,"Soup, mostly noodles, reduced sodium",10.79,1.66,0.38,53.22
5061,"Instant soup, noodle with egg, shrimp or chicken",9.17,1.55,2.68,67.0
5062,Wonton soup,5.25,2.08,0.26,31.66
5063,"Noodle soup with vegetables, Asian style",13.83,1.91,1.22,73.94
5064,"Noodle soup, with fish ball, shrimp, and dark green leafy vegetable",10.23,4.46,1.7,74.06
5065,"Sopa seca, Mexican style, NFS",18.26,2.66,6.41,141.37
5066,"Sopa Seca de Fideo, Mexican style, made with dry noodles, home recipe",16.58,3.12,6.88,140.72
5067,"Sopa de Fideo Aguada, Mexican style noodle soup, home recipe",8.76,3.3,3.52,79.92
5068,"Sopa seca de arroz, home recipe, Mexican style",20.78,2.32,6.41,150.09
5069,"Sopa de tortilla, Mexican style tortilla soup, home recipe",7.52,4.86,7.59,117.83
5070,"Macaroni, tomatoes, and beef, baby food, NS as to strained or junior",9.43,2.43,1.28,58.96
5071,"Macaroni, tomatoes, and beef, baby food, strained",9.45,2.36,1.47,60.47
5072,"Macaroni, tomatoes, and beef, baby food, junior",9.4,2.5,1.1,57.5
5073,"Macaroni with beef and tomato sauce, baby food, toddler",11.53,4.34,1.9,80.58
5074,"Macaroni and cheese, baby food, strained",8.57,2.87,2.06,64.3
5075,"Macaroni and cheese, baby food, toddler",11.2,3.5,2.6,82.2
5076,"Spaghetti, tomato sauce, and beef, baby food, junior",11.42,2.57,1.37,68.29
5077,"Ravioli, cheese-filled, with tomato sauce, baby food, toddler",16.3,3.6,2.2,99.4
5078,"Macaroni with vegetables, baby food, strained",8.4,1.7,2.1,59.3
5079,"Meat substitute, cereal- and vegetable protein-based, fried",61.87,11.28,7.04,355.96
5080,"Clementine, raw",13.34,0.81,0.31,59.39
5081,"Grapefruit, raw",10.66,0.77,0.14,46.98
5082,"Grapefruit, canned",9.15,0.58,0.1,39.82
5083,"Kumquat, raw",15.9,1.88,0.86,78.86
5084,"Lemon, raw",9.32,1.1,0.3,44.38
5085,Lemon pie filling,68.78,4.72,6.76,354.84
5086,"Lime, raw",10.54,0.7,0.2,46.76
5087,"Orange, raw",11.75,0.94,0.12,51.84
5088,"Orange, canned, NFS",11.82,0.6,0.04,50.04
5089,"Orange, canned, juice pack",9.57,0.62,0.03,41.03
5090,"Orange, canned, in syrup",14.07,0.59,0.04,59.0
5091,"Tangerine, raw",13.34,0.81,0.31,59.39
5092,"Grapefruit juice, 100%, freshly squeezed",9.2,0.5,0.1,39.7
5093,"Grapefruit juice, 100%, NS as to form",7.59,0.55,0.7,38.86
5094,"Grapefruit juice, 100%, canned, bottled or in a carton",7.59,0.55,0.7,38.86
5095,"Grapefruit juice, 100%, with calcium added",7.74,0.51,0.68,39.12
5096,"Grapefruit juice,100%, frozen, reconstituted",9.66,0.55,0.13,42.01
5097,"Lemon juice, 100%, NS as to form",6.9,0.35,0.24,31.16
5098,"Lemon juice, 100%, freshly squeezed",6.9,0.35,0.24,31.16
5099,"Lemon juice, 100%, canned or bottled",5.62,0.45,0.07,24.91
5100,"Lime juice, 100%, NS as to form",8.42,0.42,0.07,35.99
5101,"Lime juice, 100%, freshly squeezed",8.42,0.42,0.07,35.99
5102,"Lime juice, 100%, canned or bottled",6.69,0.25,0.23,29.83
5103,"Orange juice, 100%, NFS",11.45,0.68,0.12,49.6
5104,"Orange juice, 100%,  freshly squeezed",10.4,0.7,0.2,46.2
5105,"Orange juice, 100%, canned, bottled or in a carton",11.54,0.68,0.12,49.96
5106,"Orange juice, 100%, with calcium added, canned, bottled or in a carton",11.27,0.68,0.12,48.88
5107,"Orange juice, 100%, frozen, reconstituted",10.04,0.68,0.07,43.51
5108,"Orange juice, 100%, frozen, not reconstituted",35.19,2.4,0.25,152.61
5109,"Orange juice, 100%, with calcium added, frozen, reconstituted",9.67,0.68,0.07,42.03
5110,"Tangerine juice, 100%",10.1,0.5,0.2,44.2
5111,"Fruit juice blend, citrus, 100% juice",12.2,0.41,0.08,51.16
5112,"Fruit juice blend, citrus, 100% juice, with calcium added",11.27,0.68,0.12,48.88
5113,"Fruit mixture, dried",78.62,2.28,0.62,329.18
5114,"Apple, dried",65.89,0.93,0.32,270.16
5115,"Apricot, dried",62.64,3.39,0.51,268.71
5116,"Blueberries, dried",80.0,2.5,2.5,352.5
5117,"Cherries, dried",80.45,1.25,0.73,333.37
5118,Banana chips,58.4,2.3,33.6,545.2
5119,"Currants, dried",76.98,3.43,0.22,323.62
5120,"Cranberries, dried",82.8,0.17,1.09,341.69
5121,Date,75.03,2.45,0.39,313.43
5122,"Fig, dried",63.9,3.3,0.92,277.08
5123,"Mango, dried",78.58,2.45,1.18,334.74
5124,"Papaya, dried",75.43,1.25,0.84,314.28
5125,"Peach, dried",61.33,3.61,0.76,266.6
5126,"Pear, dried",69.7,1.87,0.63,291.95
5127,"Persimmon, dried",96.07,1.54,0.66,396.38
5128,"Pineapple, dried",81.54,1.43,0.47,336.11
5129,"Prune, dried",63.88,2.18,0.38,267.66
5130,Raisins,79.32,3.3,0.25,332.73
5131,"Tamarind, dried",66.21,2.52,0.57,280.05
5132,"Fruit, NFS",15.96,0.76,0.23,68.95
5133,"Fruit, pickled",15.32,0.56,0.24,65.68
5134,"Apple, raw",13.81,0.26,0.17,57.81
5135,"Applesauce, regular",17.49,0.16,0.17,72.13
5136,"Applesauce, unsweetened",11.27,0.17,0.1,46.66
5137,"Applesauce, flavored",17.49,0.16,0.17,72.13
5138,Apple pie filling,26.1,0.1,0.1,105.7
5139,"Apple, baked",22.7,0.32,3.04,119.44
5140,"Apricot, raw",11.12,1.4,0.39,53.59
5141,"Apricot, canned",13.85,0.65,0.17,59.53
5142,"Avocado, raw",8.53,2.0,14.66,174.06
5143,"Banana, raw",22.84,1.09,0.33,98.69
5144,"Banana, fried",32.26,1.19,3.21,162.69
5145,"Cantaloupe, raw",8.16,0.82,0.18,37.54
5146,"Starfruit, raw",6.73,1.04,0.33,34.05
5147,"Cassaba melon, raw",6.58,1.11,0.1,31.66
5148,"Cherries, maraschino",41.97,0.22,0.21,170.65
5149,Cherry pie filling,28.59,0.6,0.91,124.95
5150,"Cherries, raw",16.01,1.06,0.2,70.08
5151,"Cherries, canned",18.79,0.71,0.14,79.26
5152,"Cherries, frozen",16.01,1.06,0.2,70.08
5153,"Fig, raw",19.18,0.75,0.3,82.42
5154,"Fig, canned",19.36,0.56,0.24,81.84
5155,"Grapes, raw",18.1,0.72,0.16,76.72
5156,"Guava, raw",14.32,2.55,0.95,76.03
5157,"Kiwi fruit, raw",14.0,1.06,0.44,64.2
5158,Lychee,16.53,0.83,0.44,73.4
5159,"Honeydew melon, raw",9.09,0.54,0.14,39.78
5160,"Mango, raw",14.98,0.82,0.38,66.62
5161,"Mango, canned",16.22,0.62,0.3,70.06
5162,"Mango, frozen",14.98,0.82,0.38,66.62
5163,"Nectarine, raw",9.18,1.06,0.28,43.48
5164,"Papaya, raw",10.82,0.47,0.26,47.5
5165,"Papaya, canned",13.1,0.35,0.21,55.69
5166,"Passion fruit, raw",23.38,2.2,0.7,108.62
5167,"Peach, raw",10.1,0.91,0.27,46.47
5168,"Peach, canned, NFS",11.94,0.43,0.09,50.29
5169,"Peach, canned, in syrup",13.59,0.4,0.08,56.68
5170,"Peach, canned, juice pack",10.3,0.45,0.1,43.9
5171,"Peach, frozen",10.1,0.91,0.27,46.47
5172,"Pear, raw",15.23,0.36,0.14,63.62
