,Сливочное масло с солью,717,0.85,81.11,0.06
6111,"Конфеты, кондитерская глазурь, йогурт",522,5.87,27.0,63.94
6112,Конфеты из полусладкого шоколада,480,4.2,30.0,63.9
6113,"Конфеты, сладкий шоколад",507,3.9,34.2,60.4
6114,"Конфеты, покрытые сладкой шоколадной помадкой",366,2.2,9.3,80.4
6115,"Конфеты, пасьянсы с золотистым миндалем от hershey's",569,11.97,37.13,46.85
6116,"Конфеты, кондитерская глазурь, ириски",539,2.2,29.05,67.1
6117,"Конфеты, кондитерская глазурь, арахисовое масло",529,18.3,29.8,46.88
6118,Конфеты из белого шоколада,539,5.87,32.09,59.24
6119,"Мороженое ванильное, легкое",180,4.78,4.83,29.46
6120,"Мороженое ванильное, сдобное",249,3.5,16.2,22.29
6121,Мягкое мороженое с французской ванилью-подавайте,222,4.1,13.0,22.2
6122,"Конфеты ""йоркский мятный пирожок""",384,2.19,7.17,80.99
6123,"Конфеты ""твиззлерс"" с кусочками вишни",347,2.3,2.64,79.37
6124,"Конфеты, плитка молочного шоколада symphony",531,8.51,30.57,58.01
6125,"Десерты, флан, карамельный заварной крем, приготовленные по рецепту",145,4.53,4.03,22.78
6126,Мороженое ванильное,207,3.5,11.0,23.6
6127,"Мороженое ванильное, легкое, мягкое-подавайте",126,4.9,2.6,21.8
6128,Шербет апельсиновый,144,1.1,2.0,30.4
6129,"Конфеты, шоколадный батончик на 5-й авеню",482,8.78,23.98,62.68
6130,"Конфеты, помадка, приготовленныепо рецепту",373,0.0,0.02,93.18
6131,"Конфеты, помадка, шоколад, приготовленные по рецепту",411,2.39,10.41,76.44
6132,"Конфеты, помадка, шоколадные, с орехами, приготовленные по рецепту",461,4.38,18.93,67.93
6133,"Конфеты, помадка, арахисовое масло, приготовленные по рецепту",387,3.78,6.59,77.75
6134,"Конфеты, помадка, ваниль, приготовленные по рецепту",383,1.05,5.45,82.15
6135,"Конфеты, помадка, ваниль с орехами",435,3.0,13.69,74.61
6136,"Конфеты nestle, goobers с арахисом в шоколадной глазури",512,9.7,34.0,53.0
6137,"Конфеты, леденцы, кусочки крахмального желе",396,0.0,0.0,98.9
6138,Конфеты твердые,394,0.0,0.2,98.0
6139,"Конфеты, желейные бобы",375,0.0,0.05,93.55
6140,"Конфеты, вафельный батончик kit kat",518,6.51,25.99,64.59
6141,"Конфеты, плитка шоколада krackel",512,6.62,26.58,63.96
6142,"Конфеты ""нестле"", батончик ""бэби рут""",459,5.4,21.6,64.8
6143,Конфеты twizzlers strawberry twists candy,348,2.56,2.32,79.16
6144,"Сиропы, столовые смеси, блинчики со сливочным маслом",291,0.0,0.09,72.43
6145,"Мороженое, шоколадное, легкое",187,5.0,7.19,25.7
6146,"Конфеты, mars snackfood us, миндальный батончик mars",467,8.1,23.0,62.7
6147,"Конфеты, зефир",318,1.8,0.2,81.3
6148,"Конфеты, халава обычная",469,12.49,21.52,60.49
6149,"Конфеты ""нестле"", батончик ""О Генри!""",462,7.7,23.0,65.5
6150,"Конфеты, nestle, батончик chunky bar",475,7.5,27.5,60.0
6151,Конфеты из молочного шоколада,535,7.65,29.66,59.4
6152,"Пудинги с бананом, сухая смесь быстрого приготовления, приготовленные на 2%-ном молоке",105,2.76,1.7,19.74
6153,"Пудинги банановые, обычные из сухой смеси, приготовленные на 2%-ном молоке",101,2.9,1.73,18.43
6154,"Пудинги шоколадные, сухие, растворимые, приготовленные на 2%-ном молоке",105,3.15,1.92,18.89
6155,"Выпечка шоколадных, мексиканских, квадратиков",426,3.64,15.59,77.41
6156,Ореховый спред со вкусом шоколада,541,5.41,29.73,62.16
6157,"Конфеты с арахисом, покрытым молочным шоколадом",519,13.1,33.5,49.7
6158,"Конфеты с изюмом, покрытым молочным шоколадом",390,4.1,14.8,68.4
6159,"Сиропы, столовые смеси, блинчики низкокалорийные",165,0.0,0.0,44.55
6160,"Сиропы, столовые смеси, блинчики",234,0.0,0.0,61.47
6161,"Конфеты, миндальный батончик hershey's pot of gold",577,12.82,38.46,44.89
6162,Конфеты из молочного шоколада с миндалем,526,9.0,34.4,53.4
6163,Конфеты в молочном шоколаде с рисовыми хлопьями,511,7.64,29.37,59.67
6164,"Конфеты, mars snackfood us, батончик milky way",456,4.01,17.23,71.17
6165,"Конфеты, батончик hershey's skor toffee bar",541,3.13,30.37,63.73
6166,Начинка клубничная,254,0.2,0.1,66.3
6167,"Конфеты с трюфелями, приготовленные по рецепту",510,6.21,33.76,44.88
6168,"Шоколадный бисквит, mars snackfood us, полуфабрикаты шоколадных мини-бисквитов M & Ms",517,4.44,26.15,65.96
6169,"Конфеты, mars snackfood us, арахисово-шоколадные конфеты M& Ms",515,9.57,26.13,60.48
6170,"Конфеты, mars snackfood us, молочные шоколадные конфеты M & Ms",492,4.33,21.13,71.19
6171,"Конфеты, моноблок mounds",486,4.6,26.6,58.59
6172,"Конфеты, шоколадный батончик mr. goodbar",538,10.22,33.21,54.34
6173,"Конфеты ""нестле"", батончик ""100 гран""",468,2.5,19.33,70.97
6174,"Конфеты, нестле, батончики ""кранч"" и десерт, начинка для десертов",500,5.0,26.0,67.0
6175,"Шоколад для выпечки, mars snackfood us, кусочки мини-выпечки из молочного шоколада M & Ms",502,4.78,23.36,68.4
6176,"Конфеты, арахисовый батончик",522,15.5,33.7,47.4
6177,"Конфеты с ломким арахисом, приготовленные по рецепту",486,7.57,18.98,71.24
6178,"Конфеты ""нестле"" с изюмом в шоколадной глазури",422,4.4,17.0,71.0
6179,"Конфеты, стаканчики с арахисовым маслом reese's",515,10.24,30.53,55.36
6180,"Конфеты, конфеты reese's pieces",497,12.46,24.77,59.86
6181,"Конфеты ""роло карамель"" в молочном шоколаде",474,5.08,20.93,67.95
6182,"Конфеты ""нестле"" после восьми мятных конфет",432,1.67,11.9,79.53
6183,Конфеты с кунжутным хрустом,516,11.6,33.3,50.3
6184,"Конфеты, mars snackfood us, батончик ""сникерс""",491,7.53,23.85,61.51
6185,"Конфеты, mars snackfood us, фруктовые жвачки starburst, оригинальные фрукты",408,0.41,8.21,82.57
6186,"Конфеты, mars snackfood us, мини-конфеты M & Ms из молочного шоколада",502,4.78,23.36,68.4
6187,"Конфеты, mars snackfood us, батончик ""3 мушкетера""",436,2.6,12.75,77.77
6188,"Конфеты, mars snackfood us, батончики с карамельным печеньем twix",502,4.91,24.85,64.8
6189,"Конфеты, mars snackfood us, батончики с арахисовым маслом twix",536,9.18,32.67,54.15
6190,"Конфеты, что такое шоколадный батончик",494,8.04,23.68,63.23
6191,Жевательная резинка,360,0.0,0.3,96.7
6192,"Конфеты, специальная плитка темного шоколада",556,5.54,32.4,60.49
6193,"Какао сухое порошкообразное, несладкое",228,19.6,13.7,57.9
6194,"Какао сухое порошкообразное, несладкое, обработанное щелочью",220,18.1,13.1,58.3
6195,"Десерты с яичным заварным кремом, запеченные, приготовленные по рецепту",104,5.02,4.58,11.0
6196,"Яичный заварной крем, сухая смесь",410,6.9,6.4,82.8
6197,"Яичный заварной крем, сухая смесь, приготовленная на цельном молоке",122,3.99,4.0,17.6
6198,"Какао сухое порошкообразное, несладкое, какао в европейском стиле hershey's",410,20.0,10.0,60.0
6199,"Желатиновый десерт, десерты, сухая смесь",381,7.8,0.0,90.5
6200,"Желатиновый десерт, сухая смесь для десертов, приготовленная на воде'",62,1.22,0.0,14.19
6201,"Желатиновый десерт, десерты, сухая смесь, низкокалорийная, калорийная, с аспартамом",198,15.67,0.0,80.21
6202,"Желатиновый десерт, десерты, сухая смесь, низкокалорийная, калорийная, с аспартамом, приготовленная на воде'",20,0.83,0.0,4.22
6203,"Желатины сухие, измельченные в порошок, несладкие",335,85.6,0.1,0.0
6204,"Конфеты ""Йорк битс""",394,1.78,7.32,81.64
6205,"Десерты, мусс, шоколад, приготовленные по рецепту",225,4.14,16.0,16.07
6206,"Пудинги шоколадные, готовые к употреблению",142,2.09,4.6,23.01
6207,"Пудинги, шоколад, сухая смесь быстрого приготовления",378,2.3,1.9,87.9
6208,"Пудинги шоколадные, сухие, растворимые, приготовленные на цельном молоке",111,3.1,3.1,18.8
6209,"Десерты с яблочной хрустящей корочкой, приготовленные по рецепту",161,1.75,3.43,30.84
6210,"Флан, карамельно-заварной крем, сухая смесь",348,0.0,0.0,91.6
6211,"Десерты, пудинг, запеканки, шоколад, сухая смесь, обычный",362,2.6,2.1,89.3
6212,"Пудинги шоколадные, сухие, растворимые, приготовленные на цельном молоке",120,3.16,3.15,19.64
6213,"Пудинги шоколадные, сухие, обычные, приготовленные на 2%-ном молоке",111,3.28,2.06,19.76
6214,"Пудинги, кокосовый крем, сухая смесь быстрого приготовления, приготовленные на 2%-ном молоке",107,2.9,2.3,19.2
6215,"Пудинги рисовые, готовые к употреблению",108,3.23,2.15,18.39
6216,"Пудинги, рис, сухая смесь",376,2.7,0.1,91.2
6217,"Пудинги, рис, сухая смесь, приготовленные на цельном молоке",121,3.25,2.82,20.68
6218,"Пудинги, тапиока, сухая смесь",369,0.1,0.1,94.3
6219,"Пудинги, тапиока, сухая смесь, приготовленные на цельном молоке",115,2.84,2.89,19.43
6220,"Пудинги ванильные, готовые к употреблению",130,1.45,3.78,22.6
6221,"Пудинги, ваниль, сухая смесь быстрого приготовления",377,0.0,0.6,92.9
6222,"Пудинги с ванилью, сухая смесь быстрого приготовления, приготовленные на цельном молоке",114,2.7,2.9,19.7
6223,"Пудинги с лимоном, сухая смесь быстрого приготовления, приготовленные на 2%-ном молоке",107,2.76,1.71,20.2
6224,"Яичный заварной крем, сухая смесь, приготовленная на 2%-ном молоке",112,4.13,2.83,17.61
6225,"Пудинги, ваниль, сухая смесь, обычные",379,0.3,0.4,93.5
6226,"Пудинги с ванилью, сухая смесь, обычные, приготовленные на цельном молоке",113,2.8,2.9,18.92
6227,"Пудинги, рис, сухая смесь, приготовленные на 2%-ном молоке",111,3.29,1.63,20.81
6228,"Пудинги, тапиока, сухая смесь, приготовленные на 2%-ном молоке",105,2.88,1.67,19.56
6229,"Пудинги, ваниль, сухая смесь, обычные, приготовленные на 2%-ном молоке",101,2.94,1.73,18.53
6230,"Сычужный сок, шоколад, сухая смесь, приготовленная на 2%-ном молоке",85,3.24,2.06,13.47
6231,"Ренин, ваниль, сухая смесь, приготовленная на 2%-ном молоке",77,3.06,1.77,12.34
6232,"Конфеты пралине, приготовленные по рецепту",485,3.3,25.9,59.59
6233,"Замороженные новинки, со льдом, фрукты, без добавления сахара",24,0.5,0.1,6.2
6234,"Пудинги из тапиоки, готовые к употреблению",130,1.95,3.88,21.69
6235,"Пудинги, кокосовый крем, обычная сухая смесь, приготовленные на 2%-ном молоке",104,3.1,2.5,17.8
6236,"Десерты, ренин, шоколад, сухая смесь",363,2.4,3.3,91.5
6237,"Сычужный сок, шоколад, сухая смесь, приготовленная на цельном молоке",96,3.2,3.34,13.34
6238,"Десерты, ренин, ваниль, сухая смесь",383,0.0,0.0,99.0
6239,"Ренин, ваниль, сухая смесь, приготовленная с цельным молоком",89,3.03,3.07,12.21
6240,"Десерты, реннин, таблетки, несладкий",84,1.0,0.1,19.8
6241,"Глазурь шоколадная, сливочная, готовая к употреблению",397,1.1,17.6,63.2
6242,"Глазурь кокосово-ореховая, готовая к употреблению",433,1.5,24.0,52.7
6243,"Глазурь со вкусом сливочного сыра, готовая к употреблению",415,0.1,17.3,67.32
6244,"Глазурь ванильная, сливочная, готовая к употреблению",418,0.0,16.23,67.89
6245,"Флан, карамельный заварной крем, сухая смесь, приготовленная на 2%-ном молоке",103,2.99,1.72,18.82
6246,"Флан, карамельный заварной крем, сухая смесь, приготовленная на цельном молоке",113,2.95,3.0,18.68
6247,"Пудинги ванильные, готовые к употреблению, без жира",89,2.02,0.0,20.16
6248,"Пудинги с тапиокой, готовые к употреблению, без жира",94,1.44,0.35,21.31
6249,"Пудинги шоколадные, готовые к употреблению, без жира",93,1.93,0.3,20.87
6250,Конфеты из молочного шоколада hershey's с кусочками миндаля,568,9.76,35.73,51.72
6251,"Конфеты, кусочки риза",521,11.34,29.85,55.18
6252,"Конфеты, безумный шоколадный батончик риз",517,11.28,32.09,52.8
6253,"Глазурь, шоколад, сливки, сухая смесь",389,1.3,5.2,92.0
6254,"Глазурь, шоколад, сливки, сухая смесь, приготовленная со сливочным маслом",408,1.11,13.06,71.8
6255,"Конфеты, кусочки вереска",530,3.94,30.38,63.39
6256,"Глазурь, ваниль, сливки, сухая смесь",410,0.3,4.9,93.8
6257,"Глазурь белая, пышная, сухая смесь",371,2.3,0.0,94.9
6258,"Глазурь белая, пышная, сухая смесь, приготовленная на воде'",244,1.5,0.0,62.6
6259,"Конфеты ""херши джой"", ""миндальные кусочки радости""",563,5.58,34.5,57.54
6260,"Конфеты ""херши"", хрустящие вафли ""ризестик"", арахисовый бут, молочный шоколад",521,9.53,31.34,55.38
6261,"Конфеты, херши, батончик ""Кит кэт биг кэт""",520,6.24,27.84,63.64
6262,"Конфеты reese's, fast break, молочный шоколад pnt btr и sft nugts",474,8.66,23.42,61.6
6263,"Конфеты, mars snackfood us, молочный шоколад dove",546,5.94,31.72,59.78
6264,"Конфеты, mars snackfood us, темный шоколад dove",520,5.19,32.45,59.4
6265,"Конфеты, mars snackfood us, milkyway caraml, молочные коктейли",463,4.28,19.17,68.49
6266,"Конфеты, mars snackfood us, milky way carml. dkchoccov",458,3.82,20.42,67.56
6267,"Мороженое ванильное, легкое, без добавления сахара",169,3.97,7.45,21.42
6268,"Замороженные новинки, фруктовые батончики и соковые батончики",87,1.2,0.1,20.2
6269,"Мороженое шоколадное, легкое, без добавления сахара",173,3.54,5.74,26.79
6270,"Конфеты в кофейных зернах, покрытых темным шоколадом",540,7.5,30.0,59.95
6271,"Закуски, дженерал Миллс, ИБП betty crocker frt rl, bry flv, с vt c",373,0.1,3.5,85.2
6272,"Мороженое, шоколад",216,3.8,11.0,28.2
6273,Мороженое клубничное,192,3.2,8.4,27.6
6274,"Снеки, конфеты farley, фруктовые снеки farley, с витаминами а, с и е",341,4.4,0.0,80.9
6275,"Закуски ""санкист"", фруктовый рулет ""санкист"", клубничный, с витаминами а, с и е",342,0.6,1.0,82.7
6276,"Снеки из кожуры фруктов, кусочками, с витамином С",373,0.1,3.5,85.2
6277,"Конфеты в кофейных зернах, покрытых молочным шоколадом",549,7.41,33.18,55.25
6278,"Замороженные новинки, тип льда, лайм",128,0.4,0.0,32.6
6279,"Замороженные новинки, тип льда, итальянские, приготовленные в ресторане",53,0.03,0.02,13.5
6280,"Замороженные новинки, тип льда, шипучка",79,0.0,0.24,19.23
6281,"Конфеты, mars snackfood us, хрустящие шоколадные конфеты M & Ms",475,4.28,19.32,72.4
6282,"Замороженные йогурты, ванильные, мягкие- подавайте",159,4.0,5.6,24.2
6283,"Фруктовое масло, яблочное",173,0.39,0.3,42.47
6284,"Конфеты, mars snackfood us, батончик snickers munch bar",536,15.25,36.22,43.64
6285,Милый,304,0.3,0.0,82.4
6286,Джемы и варенья,278,0.37,0.07,68.86
6287,Желе,266,0.15,0.02,69.95
6288,"Конфеты, помадка, шоколадный зефир с орехами, приготовленные по рецепту",474,3.24,21.11,67.69
6289,"Конфеты, mars snackfood us, миндальный батончик snickers",472,5.4,22.4,64.67
6290,Мармелад апельсиновый,246,0.3,0.0,66.3
6291,Патока,290,0.0,0.1,74.73
6292,"Конфеты, mars snackfood us, конфеты pop snickers размером с кусочек",480,7.15,24.32,61.07
6293,"Конфеты, mars snackfood us, pop milky way размером с кусочек",463,3.3,18.0,71.85
6294,"Конфеты, mars snack us, pop'apples размером с кусочек 3 мушкетера",443,2.59,15.17,75.94
6295,"Конфеты, mars snack us, фруктовые жвачки starburst, frt и крем",408,0.41,8.36,82.43
6296,Пектиновая несладкая сухая смесь,325,0.3,0.3,90.4
6297,Начинка для пирога яблочная консервированная,100,0.1,0.1,26.1
6298,"Конфеты, mars snackfood us, фруктовые жвачки starburst, trop",409,0.41,8.31,82.76
6299,Начинки для пирогов консервированные с вишней,115,0.37,0.07,28.0
6300,"Конфеты, mars snackfood us, starburst sour fruit chews",400,0.39,7.78,79.73
6301,"Пудинги банановые, сухая смесь быстрого приготовления",367,0.0,0.6,92.7
6302,"Пудинги с бананом, сухая смесь быстрого приготовления, приготовленные на цельном молоке",115,2.62,2.8,19.76
6303,"Пудинги банановые, сухая смесь обычная",366,0.0,0.4,93.0
6304,"Пудинги банановые, обычные из сухой смеси, приготовленные на цельном молоке",111,2.74,2.89,18.44
6305,"Десерты, пудинг, запеканки, кокосовый крем, сухая смесь, быстрорастворимый",415,0.9,10.0,83.5
6306,"Пудинги, кокосовый крем, сухая смесь быстрого приготовления, приготовленные на цельном молоке",117,2.9,3.5,19.1
6307,"Пудинги, кокосовый крем, сухая смесь, обычный",434,1.0,11.36,81.84
6308,"Пудинги, кокосовый крем, сухая смесь, обычные, приготовленные на цельном молоке",114,3.0,3.8,17.7
6309,"Конфеты, mars snackfood us, шоколадный батончик cocoavia",539,5.81,29.3,62.99
6310,"Конфеты, mars snack us, шоколадный батончик cocoavia с черникой и миндалем",525,6.35,28.68,60.37
6311,"Конфеты, mars snackfood us, хрустящий шоколадный батончик cocoavia",517,8.21,26.23,62.06
6312,"Пудинги с лимоном, сухая смесь быстрого приготовления",378,0.0,0.7,95.4
6313,"Пудинги с лимоном, сухая смесь быстрого приготовления, приготовленные на цельном молоке",115,2.7,2.9,20.1
6314,"Пудинги с лимоном, сухая смесь, обычные",363,0.1,0.5,91.8
6315,"Пудинг, лимон, обычная сухая смесь, приготовленная из сахара, яичного желтка и воды'",109,0.65,1.12,24.2
6316,Сахар коричневый,380,0.12,0.0,98.09
6317,Сахар гранулированный,387,0.0,0.0,99.98
6318,Сахарная пудра,389,0.0,0.0,99.77
6319,"Подсластители, столовые, аспартам, равные, в пакетиках",365,2.17,0.0,89.08
6320,Сахар кленовый,354,0.1,0.2,90.9
6321,"Сиропы, шоколад, облегченный сироп hershey's с натуральным шоколадным вкусом",153,1.4,0.97,34.56
6322,"Сиропы, шоколад, помадка",350,4.6,8.9,62.9
6323,Сиропы кукурузные темные,286,0.0,0.0,77.59
6324,Сиропы кукурузные легкие,283,0.0,0.2,76.79
6325,Сиропы кукурузные с высоким содержанием фруктозы,281,0.0,0.0,76.0
6326,"Сиропы, солод",318,6.2,0.0,71.3
6327,Сиропы кленовые,260,0.04,0.06,67.04
6328,Сиропы из сорго,290,0.0,0.0,74.9
6329,"Конфеты, mars snackfood us, snickers cruncher",488,6.86,24.38,62.85
6330,"Сиропы, столовые смеси, блинные, с 2% содержанием клена",265,0.0,0.1,69.6
6331,"Сиропы, столовые смеси из тростника и 15% клена",278,0.0,0.1,69.52
6332,"Сиропы, столовые смеси, кукуруза, рафинер и сахар",319,0.0,0.0,83.9
6333,"Конфеты, mars snackfood us, skittles размер укуса: лесная ягода",402,0.19,4.25,90.76
6334,Начинка из ирисок или карамели,216,1.21,0.0,57.01
6335,Начинка с зефирным кремом,322,0.8,0.3,79.0
6336,Начинка из ананаса,253,0.1,0.1,66.4
6337,Начинка из орехов в сиропе,448,4.5,22.0,58.08
6338,"Конфеты, mars snackfood us, skittles tropical bite size и другие",405,0.19,4.34,90.77
6339,"Конфеты, mars snackfood us, skittles sours original",401,0.18,4.0,91.02
6340,"Конфеты, mars snackfood us, skittles оригинального размера и другие",405,0.19,4.37,90.78
6341,"Глазурь, ваниль, сливки, сухая смесь, приготовленная с маргарином",413,0.34,12.74,74.28
6342,"Глазурь, шоколад, сливки, сухая смесь, приготовленная с маргарином",404,1.1,12.87,71.02
6343,"Глазурь, глазурь, приготовленная по рецепту",341,0.44,0.53,83.65
6344,"Конфеты, помадка, шоколадный зефир, приготовленные по рецепту",453,2.26,17.48,71.34
6345,"Конфеты ириски, приготовленные по рецепту",397,0.03,3.33,91.56
6346,"Конфеты с ириской, приготовленные по рецепту",560,1.07,32.75,64.72
6347,"Конфеты ""божественность"", приготовленные по рецепту",364,1.32,0.06,89.05
6348,"Замороженные новинки, тип льда, ананасово-кокосовый",113,0.0,2.6,23.9
6349,"Замороженные йогурты, шоколад, всмятку- подавать",160,4.0,6.0,24.9
6350,Банановые чипсы,519,2.3,33.6,58.4
6351,Кукурузные орешки со вкусом барбекю,436,9.0,14.3,71.7
6352,Рисовый батончик с хрустящей корочкой и миндалем,458,7.0,20.4,64.6
6353,"Батончики гранолы мягкие, без покрытия, с шоколадной крошкой",418,5.65,16.57,70.2
6354,"Батончики гранолы, мягкие, без покрытия, с шоколадной крошкой, грэмом и зефиром",427,6.1,15.5,70.8
6355,Батончики гранолы мягкие без покрытия с орехами и изюмом,454,8.0,20.4,63.6
6356,"Закуски, говяжьи палочки копченые",550,21.5,49.6,5.4
6357,Свиные шкурки для барбекю-ароматизатор,538,57.9,31.8,1.6
6358,"Глазурь, глазировка, chc, приготовление-frm-rcip, с butr, nfsmi recip № c-32",359,1.42,7.17,72.18
6359,"Картофельные чипсы, приготовленные из сушеного картофеля, простые",545,4.62,35.28,55.38
6360,"Картофельные чипсы простые, соленые",532,6.39,33.98,53.83
6361,Картофельные чипсы из сушеного картофеля со вкусом сыра,551,7.0,37.0,50.6
6362,"Закуски, рисовые лепешки, коричневый рис, кукуруза",385,8.4,3.2,81.2
6363,"Рисовые лепешки, коричневый рис, мультизерновой",387,8.5,3.5,80.1
6364,"Закуски, картофельные палочки",522,6.7,34.4,53.3
6365,"Рисовые лепешки, коричневый рис, ржаной",386,8.1,3.8,79.9
6366,Соленые кунжутные палочки на пшеничной основе,541,10.9,36.7,46.5
6367,Кукурузные лепешки,387,8.1,2.4,83.4
6368,Батончики мюсли твердые с арахисовым маслом,483,9.8,23.8,62.3
6369,Картофельные чипсы со вкусом сыра,496,8.5,27.2,57.7
6370,"Закуски, картофельные чипсы с пониженным содержанием жира",471,7.1,20.8,66.9
6371,"Снеки картофельные чипсы обезжиренные, приготовленные с олестрой",274,7.74,0.7,65.0
6372,"Закуски, чипсы ""тортилья"" со вкусом начо с пониженным содержанием жира",445,8.7,15.2,71.6
6373,"Чипсы из тортильи с низким содержанием жира, запеченные без жира",415,11.0,5.7,80.0
6374,"Сырные слойки и твисты на основе кукурузы, запеченные с низким содержанием жира",432,8.5,12.1,72.35
6375,"Закуски, батончик мюсли с фруктовой начинкой, нежирный",342,5.9,0.9,77.6
6376,"Попкорн с сахарным сиропом/карамелью, обезжиренный",381,2.0,1.4,90.06
6377,"Картофельные чипсы обезжиренные, соленые",379,9.64,0.6,83.76
6378,"Закуски, келлог, kellogg's rice krispies угощает квадратиками",414,3.4,9.0,80.5
6379,"Закуски, батончик гранолы с низким содержанием жира от kellogg's, хрустящий миндаль с сахаром",390,8.0,7.4,78.0
6380,"Снеки, m and m mars, цельнозерновые батончики kudos, шоколадная крошка",420,4.47,13.02,72.31
6381,"Снеки, kellogg's, зерновые батончики nutri, фрукты",365,4.22,8.67,67.61
6382,"Закуски, чипсы ""тортилья"" с низким содержанием жира, приготовленные с олестрой и сыром начо",318,8.44,3.53,65.22
6383,"Снеки, картофельные чипсы, вяленый картофель frm, без жира, с олестрой",253,5.06,0.93,56.0
6384,Чипсы Таро,498,2.3,24.9,68.1
6385,"Конфеты из полусладкого шоколада, приготовленные со сливочным маслом",477,4.2,29.7,63.4
6386,"Желатиновый десерт, сухая смесь для десертов с добавлением витамина С, цитрата натрия и соли",381,7.8,0.0,90.5
6387,"Желатиновый десерт, десерты, сухая смесь, низкокалорийная, калорийная, с аспартамом, добавлением фосфора, калия, натрия, витамина С",345,55.3,0.0,33.3
6388,"Желатиновый десерт, десерты, сухая смесь, низкокалорийная, калорийная, с аспартамом, без добавления натрия",345,55.3,0.0,33.3
6389,Пудинги банановые из сухой смеси быстрого приготовления с добавлением масла,386,0.0,4.4,89.0
6390,"Пудинги банановые, сухая смесь обычная, с добавлением масла",387,0.0,5.0,88.4
6391,"Пудинги, лимон, сухая смесь обычная, с добавлением масла, калия, натрия",366,0.1,1.5,90.3
6392,"Пудинги, тапиока, сухая смесь без добавления соли",369,0.1,0.1,94.3
6393,"Пудинги, ваниль, сухая смесь, обычные, с добавлением масла",369,0.3,1.1,92.4
6394,Джемы и варенья абрикосовые,242,0.7,0.2,64.4
6395,"Сиропы, столовые смеси, блинные, с 2% содержанием клена, с калием",265,0.0,0.1,69.6
6396,Кукурузные лепешки с очень низким содержанием натрия,387,8.1,2.4,83.4
6397,"Снеки на основе кукурузы, экструдированные, слоеные или твистинговые, со вкусом сыра, необогащенные",558,5.76,35.76,54.1
6398,"Снеки на основе кукурузы, экструдер, чипсы со вкусом барбекю, с обогащенной мукой маса",523,7.0,32.7,56.2
6399,"Закуски, попкорн в воздушном виде (несоленый)",382,12.0,4.2,77.9
6400,"Закуски, попкорн, белый попкорн с добавлением масла, с добавлением соли",500,9.0,28.1,57.2
6401,"Картофельные чипсы простые, приготовленные с частично гидрогенизированным соевым маслом, соленые",536,7.0,34.6,52.9
6402,"Картофельные чипсы простые, приготовленные с частично гидрогенизированным соевым маслом, несоленые",536,7.0,34.6,52.9
6403,"Картофельные чипсы простые, несоленые",536,7.0,34.6,52.9
6404,"Крендельки твердые, простые, приготовленные из необогащенной муки, соленые",381,9.1,3.5,79.2
6405,"Крендельки твердые, простые, приготовленные из необогащенной муки, несоленые",381,9.1,3.5,79.2
6406,"Закуски, крендельки твердые, простые, из обогащенной муки, несоленые",381,9.1,3.5,79.2
6407,"Рисовые лепешки, коричневый рис, простой, несоленый",387,8.2,2.8,81.5
6408,"Рисовые лепешки, коричневый рис, гречневая крупа, несоленые",380,9.0,3.5,80.1
6409,"Рисовые лепешки, коричневый рис, мультизерновой, несоленый",387,8.5,3.5,80.1
6410,"Рисовые лепешки, коричневый рис, семена кунжута, несоленые",392,7.6,3.8,81.5
6411,Несоленые кунжутные палочки на пшеничной основе,541,10.9,36.7,46.5
6412,"Сухая смесь, обычная, несоленая",462,13.8,29.4,44.9
6413,"Шейк-микс, обычный, с шоколадной крошкой, несолеными орехами и семечками",484,14.2,31.9,44.9
6414,Картофельные чипсы без соли с пониженным содержанием жира,487,7.1,20.8,67.8
6415,"Чипсы из тортильи с низким содержанием жира, несоленые",416,11.0,5.7,80.1
6416,"Замороженные новинки, соки, каракули для фруктового мороженого",81,0.0,0.24,19.68
6417,"Снеки, чипсы из тортильи со вкусом начо, приготовленные из обогащенной муки маса",498,7.8,25.6,62.4
6418,"Конфеты с миндалем, покрытым сахаром",474,10.0,17.93,68.26
6419,Какао сухое порошкообразное с высоким содержанием жира или простое для завтрака,486,16.8,23.71,51.39
6420,"Какао сухое порошкообразное, с высоким содержанием жира или для завтрака, обработанное щелочью",479,16.8,23.71,49.71
6421,"Конфеты, мягкие фруктовые и ореховые квадратики",390,2.31,9.52,73.81
6422,"Мороженое ванильное, обезжиренное",138,4.48,0.0,30.06
6423,"Подсластители, столовые, сукралоза, в пакетиках splenda",336,0.0,0.0,91.17
6424,"Замороженные новинки без добавления сахара, фруктовое мороженое",124,3.67,1.87,23.11
6425,"Фруктовое мороженое нового типа, без сахара, фруктовое мороженое ornge, chry и grp",21,0.0,0.0,5.14
6426,"Frz nvl, ""клондайк"", сливочная помадка ""слим-а-беар"", 98%-ная, частично обжаренная, без добавления сахара",124,4.31,1.88,30.07
6427,"Мороженое, брейеры, все натуральное с легкой ванилью",162,4.84,4.59,25.3
6428,"Мороженое, брейеры, вся натуральная легкая французская ваниль",173,4.82,5.56,26.03
6429,Мороженое брейерсовое с 98%-ной обезжиренной ванилью,137,3.3,2.2,30.51
6430,"Мороженое, брейеры, все натуральное, легкое, ванильно-шоколадное, клубничное",161,4.69,4.35,26.06
6431,"Мороженое, брейеры, полностью натуральное с легкой мятно-шоколадной крошкой",196,4.69,7.09,28.39
